feature,mean_abs_shap
views_per_day,4.054733
days_log,3.5296488
subscriber_count_log,0.83994657
likes_per_day,0.6864325
views_to_subs_ratio,0.618949
age_bucket,0.5610564
engagement_rate,0.21716718
like_rate,0.17524433
comments_per_day,0.16032135
views_growth_rate,0.11588431
comment_rate,0.11318088
views_diff,0.111694135
duration_log,0.073991224
comment_like_ratio,0.07379822
snapshot_count,0.073278934
channel_tier,0.061381735
views_per_day_per_sub,0.059720624
likes_diff,0.024050774
views_acceleration,0.012661539
engagement_diff,0.012466857
snapshot_rank,0.009108783
is_short_video,0.002824551
